uuid,mtgo,mtgoFoil,paper,paperFoil
0063b3d0-2fb7-5823-9db9-edddd63e98de,0.0,0.0,0.0,5.86
00643f3d-3afe-51b6-aa53-0535339f75d5,0.0,0.0,0.0,0.89
00646ec1-fb16-5626-a7d4-d89483b54529,0.0,0.0,0.55,0.0
006638de-ca2b-5d09-b940-59ea9acb56b7,0.01,0.01,0.29,0.0
006801c6-87b2-5249-bdf4-6c9ec67dadfc,0.0,0.0,10.76,13.81
0068aba4-76d5-5c13-b250-1fdd031df180,0.39,1.7000000000000002,21.93,53.66
006c85fe-e485-54c6-a91e-79a97eb86251,0.05,0.02,0.09,0.25
006cec49-c93c-5a7c-9f01-9f63448579bd,0.04,0.01,0.63,1.75
006fbd9e-aed0-5ccf-a62f-9a791e9c15a7,0.018181818181818184,0.04000000000000001,0.25999999999999995,0.8884210526315791
00706584-ee86-5ac1-9ef7-71e37618215f,0.35000000000000003,1.75,0.21,7.2
00714172-9ace-53bd-9848-1e71ae1c0e46,0.025416666666666667,0.019583333333333338,0.0,0.0
00726e87-a604-59ec-8691-cb4f1e81d475,0.02,0.24,0.5,6.59
00729f95-8dcb-5085-a3fc-cec2a0b17a7c,0.02,1.21,0.85,5.26
0073334d-ca4e-5232-956e-faf391f43e43,0.0,0.0,0.0,0.0
00751a28-ef60-5c30-8765-7b89ea71c3bc,0.010000000000000002,0.030000000000000016,0.17947368421052637,28.439444444444444
0075c27c-abdf-503e-9629-9d3080be5b15,0.02,0.32,1.46,3.83
0075f120-ec94-5540-86e5-c0483ba37a3f,0.03,0.1,5.68,22.69
00766259-ad0c-56e7-99fd-974075a3d26d,0.02,0.06,0.66,14.85
007a46ff-49dc-58f2-8107-c225e3171585,0.04,0.65,0.06,0.05
007e76b7-5419-561f-bf9c-6f9f92567217,0.19,0.0,0.09,0.0
007e7f41-7075-59be-a1d1-465425bfa877,0.0,0.0,0.0,549.99
008011b3-9fdb-5f3d-89cb-6198b98954ee,0.0,0.0,0.0,2.77
00804720-2c30-5a79-8253-8a009b96d36f,0.08,0.08,0.25,0.0
00807199-5c7b-51d5-b3e7-fb14388c3de8,0.0,0.0,19.53,0.0
00813f1c-da36-579f-afc3-f196ab4240df,0.0,0.0,1.62,0.0
00847fa5-0ac5-5eff-a55d-84a34f9422a9,0.0,0.0,0.39,0.0
00882799-50dd-5be8-a745-4a6d8b586a98,0.03,1.5,0.84,0.0
008920bc-013b-522b-a7dd-083aa9335be0,0.0,0.0,3.51,0.0
008da7a0-0b9e-55f8-ba30-426ecb21c54c,0.04,0.0,0.24,0.0
00918060-9e23-507a-9f24-a055d0eb64ce,0.02,0.04,2.62,5.11
00922ac3-2e47-543f-b3b3-c49fb4843a67,0.02,0.02,0.26,0.84
0092c202-0a55-5cc2-8fb2-9877bd26cc02,1.19,0.1,1.35,0.0
0093e2ba-93aa-5559-8afb-8895ee4393bf,0.0,0.0,0.25,0.0
009a7ca2-0294-50c8-80a3-5e1d9a5c548f,0.02,0.02,0.12,1.9500000000000002
009a7f95-4de3-5466-a608-8195abd5c503,0.12,1.15,1.38,2.22
009cd251-b127-5838-9bb6-84057a4ee795,0.01,0.65,0.09,0.30000000000000004
